Gate voltage (V),Capacitance (F),Dissipation (s^-1),Resonance frequency (Hz),Internal quality factor (1),Effective resistnce (Ohm)
-0.0015000000000000568,6.770024879264745e-18,-7637.872573884952,368783312.8559557,3913.271989845269,-400741373.98096466
-0.0014900000000001024,4.6523488944179076e-18,-1355.1084694227668,368784507.88924515,3872.1862232345734,-2258720699.202851
-0.0014800000000001479,1.0537034434563545e-18,-10298.430378667053,368786538.6803424,3930.9345199132736,-297211462.0389705
-0.0014700000000000824,5.7395485984939906e-18,7274.5609859533715,368783894.36625063,3817.139334098106,420755500.63576573
-0.0014600000000001279,3.684504494010485e-18,11848.67721526928,368785054.0608394,3788.591878638784,258325169.46328294
-0.0014500000000000624,5.30100542307017e-18,-4668.594996190693,368784141.84233123,3893.746457955068,-655617279.2987212
-0.0014400000000001079,2.734900570147496e-18,-6768.559788049045,368785589.9413709,3907.5352734552353,-452210166.6228214
-0.0014300000000001534,1.3406089541313936e-17,22133.552370400674,368779568.10987467,3725.936739830953,138288309.9074248
-0.0014200000000000879,1.56344423964772e-17,29546.799026232988,368778310.6709756,3682.0455398929016,103591984.59476627
-0.0014100000000001334,1.2388141095501128e-17,5608.265458999503,368780142.5330444,3827.646030453894,545767951.2367876
-0.0014000000000000679,3.0422481312374794e-17,70163.93509955473,368769966.24334246,3458.80700936416,43623715.591311045
-0.0013900000000001134,3.484617787624372e-17,91887.3761646592,368767470.1998548,3350.172818899462,33310468.502934556
-0.0013800000000000479,3.15733975022534e-17,82103.89904887372,368769316.8411067,3398.241146179277,37279734.397609696
-0.0013700000000000934,4.767497318837791e-17,135072.8089842019,368760231.91787636,3153.287886456611,22660456.7756355
-0.0013600000000001389,4.3437653778533494e-17,119027.52940363201,368762622.65739733,3223.677216609057,25715156.52627486
-0.0013500000000000734,4.884187812957675e-17,135962.94633928195,368759573.546182,3149.4728131772895,22512100.77422291
-0.0013400000000001189,4.7615471490516984e-17,112840.63037890561,368760265.489029,3251.6654057187434,27125083.75105963
-0.0013300000000000534,5.5133573874082415e-17,141589.46062366167,368756023.81103444,3125.569897671168,21617509.778398514
-0.0013200000000000989,5.0411696121021493e-17,118677.26850278342,368758687.8551517,3225.248848418346,25791051.548160568
-0.0013100000000001444,4.4987176150327704e-17,100801.95079613655,368761748.3954251,3307.542591195168,30364606.29358666
-0.0013000000000000789,4.013739553421382e-17,112649.74437638585,368764484.72950995,3252.5366631706524,27171047.44883735
-0.0012900000000001244,3.976447464262201e-17,110815.21488093019,368764695.14075506,3260.9338392148425,27620860.12141013
-0.0012800000000000589,3.502351845608451e-17,69461.65078406908,368767370.1375837,3462.436665715817,44064768.32900383
-0.0012700000000001044,3.5005686319238655e-17,80002.21451087938,368767380.19914687,3408.7477160827293,38259085.304869145
-0.0012600000000001499,2.3417342822887848e-17,2828.3299679381525,368773918.9531878,3845.304031625227,1082197474.9224772
-0.0012500000000000844,2.90669169687405e-17,7099.073443136323,368770731.12230355,3818.243138844399,431156484.58455
-0.0012400000000001299,2.801123839014237e-17,5980.246069132631,368771326.79362446,3825.2955240725114,511820335.5124053
-0.0012300000000000644,2.0266331356137588e-17,-12438.133774350881,368775696.9800458,3945.2553725742664,-246082861.39050642
-0.0012200000000001099,9.534746218505234e-18,-308.47335568012534,368781752.70367813,3865.4254991083894,-9922450328.983953
-0.0012100000000000444,2.1861508063223858e-17,-6224.7291343170045,368774796.86362714,3903.955003572716,-491718030.37595713
-0.0012000000000000899,1.8571498760520792e-17,-18649.523460564877,368776653.3368927,3987.425101193929,-164122775.36326286
-0.0011900000000001354,1.645826978947333e-17,-6147.730268567193,368777845.7960566,3903.448617247423,-497876682.26105785
-0.0011800000000000699,1.8175898746215815e-17,-13559.170323473978,368776876.5663719,3952.8001097608117,-225737377.4744325
-0.0011700000000001154,1.018513571063466e-17,-4377.558357633087,368781385.6870537,3891.843123840436,-699205196.0228221
-0.0011600000000000499,1.5864128335346774e-17,738.7025866071972,368778181.06205666,3858.684866663557,4143496455.8713336
-0.0011500000000000954,1.657101048071922e-17,3724.5403378799415,368777782.1781101,3839.593582373443,821795784.6826515
-0.001140000000000141,1.557990076922159e-17,-8896.993585773256,368778341.44815767,3921.6110362969835,-344027622.36948806
-0.0011300000000000754,6.835497597240074e-18,851.1041832872583,368783275.9089978,3857.9627386511265,3596283051.65684
-0.001120000000000121,8.561554203379071e-18,2514.1325151390806,368782301.8807232,3847.3100499749216,1217442410.501129
-0.0011100000000000554,1.0104666953747206e-17,-253.31311127051032,368781431.0957407,3865.0698471480337,-12083115375.266468
-0.001100000000000101,9.162683772065273e-18,4058.7843569142187,368781962.6600586,3837.4681951667812,754120268.6306659
-0.0010900000000001464,1.0316544270843607e-17,-5318.079464352216,368781311.53296566,3898.00070517019,-575548291.4588238
-0.001080000000000081,1.0283298523669731e-17,2363.9053797760716,368781330.2935966,3848.2699267216867,1294811364.1673055
-0.0010700000000001264,8.414321101539813e-18,-767.64055736663,368782384.96530104,3868.388574004929,-3987297857.281435
-0.001060000000000061,9.482830666137609e-18,4982.5930136869265,368781781.99981797,3831.60611106172,614300935.5053289
-0.0010500000000001064,5.0078213247538935e-18,17286.207613159128,368784307.2905185,3755.206392500205,177066689.12272838
-0.001040000000000152,6.096164624000238e-18,8471.93785338977,368783693.12318003,3809.624914084886,361288243.9081552
-0.0010300000000000864,6.976760260475322e-18,-9822.139074357838,368783196.1929977,3927.760878362441,-311623723.3436122
-0.001020000000000132,4.398722719048989e-19,6834.343460113152,368786885.08149487,3819.909480897732,447857437.57447636
-0.0010100000000000664,5.889146129218827e-18,-5249.501643514145,368783809.94637436,3897.551068441459,-583067071.3917885
-0.001000000000000112,2.5067967628334458e-18,-10865.111969468997,368785718.66527027,3934.7171406785155,-281710078.84235895
-0.0009900000000000464,8.717073514000236e-18,5040.310059513983,368782214.1202459,3831.2404584052892,607266519.9976503
-0.000980000000000092,3.917546028107351e-18,11796.563703804244,368784922.5511868,3788.914718656717,259466368.88529867
-0.0009700000000001374,4.559801412369717e-18,2506.608006954744,368784560.11530983,3847.358116451689,1221097012.7988873
-0.0009600000000000719,2.440899488451246e-18,-3972.814713956298,368785755.8525489,3889.1992548681246,-770439038.799808
-0.0009500000000001174,-3.1146769967758775e-19,-8527.20337590839,368787309.0838258,3919.1582647585815,-358946704.40226257
-0.0009400000000000519,4.5621594999748204e-18,7146.135168535134,368784558.784602,3817.947061144051,428317052.1356946
-0.0009300000000000974,3.939150752408408e-18,-10513.206613118798,368784910.359248,3932.3673031146013,-291139674.33406943
