Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0038235294117648,1.3463177304761507e-17,-2.5798475065056795e-09
1.0038470588235293,1.0301244985620606e-17,-2.2157243252281232e-10
1.003870588235294,1.4682977829083907e-17,1.1585162277070948e-08
1.0038941176470588,1.4184932031329912e-17,-1.7542920295208334e-08
1.0039176470588236,1.880094350258113e-17,1.7571341500965049e-09
1.0039411764705883,2.4414625345573823e-17,2.614065216229668e-09
1.0039647058823529,1.4488079715761894e-17,1.959785465353993e-08
1.0039882352941176,3.68413142206912e-17,1.24755117620048e-10
1.0040117647058824,3.975359377369053e-17,-5.856406313474996e-09
1.0040352941176471,3.6101594456605436e-17,-2.0210141008189805e-08
1.0040588235294117,2.55542220400667e-17,-1.59869730773969e-08
1.0040823529411764,2.927411686275602e-17,-9.710292771418421e-09
1.0041058823529412,3.78350597045881e-17,2.8283001739104373e-08
1.004129411764706,3.3734250968887525e-17,4.49075718018052e-08
1.0041529411764707,3.606764317172595e-17,-3.579048256264688e-08
1.0041764705882352,4.763669550797034e-17,6.764799987492775e-09
1.0042,4.990999536297547e-17,-2.5329134670096775e-08
1.0042235294117647,3.9592393497996886e-17,-1.609240724334725e-08
1.0042470588235295,6.868164398926079e-17,1.2434215731331084e-08
1.004270588235294,7.756861415925852e-17,-5.878774432230745e-10
1.0042941176470588,8.793164916303232e-17,6.8228191408921115e-09
1.0043176470588235,9.331370406886493e-17,1.094312593821816e-08
1.0043411764705883,7.62161960357067e-17,2.8259985997199383e-08
1.0043647058823528,1.1510695122818323e-16,4.1719320234845735e-08
1.0043882352941176,1.3042814318223686e-16,8.704887247791886e-08
1.0044117647058823,1.509771528641272e-16,4.8602132486517596e-08
1.004435294117647,1.8235669301519902e-16,5.713688550698183e-08
1.0044588235294118,1.4022602419234156e-16,3.923713344958373e-08
1.0044823529411764,1.007953080492334e-16,3.405162135121972e-08
1.0045058823529411,5.304515135136885e-17,-1.092674450858807e-09
1.004529411764706,2.49298876501445e-17,1.6084748768833926e-08
1.0045529411764706,7.184285660765147e-18,7.731023279643913e-09
1.0045764705882352,2.8834123552830098e-18,-3.810983066391314e-09
1.0046,1.502845364934002e-17,3.07914847347468e-08
1.0046235294117647,1.9482475412377453e-17,-1.0880454454237703e-08
1.0046470588235294,4.6376022413727906e-18,1.2462895060779048e-08
1.0046705882352942,7.776585749960718e-18,1.2342474672250256e-08
1.0046941176470587,1.7920972229443908e-17,4.8760772674007425e-09
1.0047176470588235,3.330660107555698e-17,5.268009643074055e-09
1.0047411764705882,2.762997908984544e-17,3.005771924333912e-08
1.004764705882353,1.2328650944443397e-16,-4.511524212034159e-09
1.0047882352941175,1.4713524896328642e-16,4.423867061210184e-08
1.0048117647058823,1.7138664468376738e-16,-1.7732826023539435e-09
1.004835294117647,1.351492092640188e-16,4.115970568216407e-08
1.0048588235294118,1.4837873988835063e-16,2.981747933348992e-08
1.0048823529411763,1.072568216639639e-16,3.206773783559638e-08
1.004905882352941,1.0006399979790839e-16,2.0301860044526974e-08
1.0049294117647058,9.531258362641478e-17,2.40280960554096e-08
1.0049529411764706,7.868396390005417e-17,1.0496788920433213e-09
1.0049764705882354,8.196072116834572e-17,-5.105806453596126e-09
1.005,6.113493543849323e-17,-3.5428928537708714e-08
1.0050235294117646,5.858839325993804e-17,6.608310991378229e-09
1.0050470588235294,4.904304843188094e-17,2.543848981268615e-10
1.0050705882352942,5.0680042244638487e-17,-2.3883843920637824e-09
1.0050941176470587,4.802587087755497e-17,1.6534846195997898e-08
1.0051176470588234,4.219510005965511e-17,-9.661381790717725e-10
1.0051411764705882,3.9119640149599383e-17,9.087246246016246e-09
1.005164705882353,3.55534090999126e-17,1.276244363603557e-08
1.0051882352941177,3.8398605995743866e-17,6.447062627615936e-10
1.0052117647058822,2.841553481009573e-17,2.3300445823209408e-08
1.005235294117647,1.8858737166686058e-17,1.4294256870882838e-09
1.0052588235294118,2.3923225013564476e-17,1.061329518669493e-08
1.0052823529411765,6.938129200674472e-18,6.966393641193837e-10
1.005305882352941,1.9583516199566715e-17,8.070423761816898e-09
1.0053294117647058,3.6163008258889743e-17,1.6372273592993096e-08
1.0053529411764706,1.9614170110788785e-17,-7.295826446652589e-09
1.0053764705882353,1.9484061422099405e-17,-1.0459354610391491e-08
1.0053999999999998,8.130263845460598e-18,-2.2964391045057238e-08
